Training Material for the Foreign Employees	外籍员工培训教材	sample1-en-sample1-zh
Contents	目 录	sample1-en-sample1-zh
Training Material for the Foreign Employees	外籍员工培训教材	sample1-en-sample1-zh
CHAPTER ONE OVERVIEW OF ICBC	第一章 工商银行概况	sample1-en-sample1-zh
Section One History of Reform and Achievement	第一节 改革历程与成就	sample1-en-sample1-zh
Section Two Corporate Governance Framework	第二节 公司治理架构	sample1-en-sample1-zh
SectIon Three Status Quo of Internationalization	第三节 国际化发展现状	sample1-en-sample1-zh
CHAPTER TWO BASIC MANAGEMENT SYSTEMS FOR OVERSEAS INSTITUTIONS	第二章 境外机构的基本管理制度	sample1-en-sample1-zh
Section One Financial Management System	第一节 境外财务管理制度	sample1-en-sample1-zh
Section Two Capital Management System	第二节 资本管理制度	sample1-en-sample1-zh
Section Three Credit Management System	第三节 信贷管理制度	sample1-en-sample1-zh
Section Four Enterprise Risk Management System	第四节 全面风险管理制度	sample1-en-sample1-zh
Section Five Internal Control and Compliance Management	第五节 内部控制与合规管理	sample1-en-sample1-zh
Section Six Audit Management of Overseas Institutions	第六节 境外机构审计管理	sample1-en-sample1-zh
CHAPTER THREE IT SYSTEMS AND REGULATIONS OF ICBC	第三章 工商银行信息科技系统与制度	sample1-en-sample1-zh
Section One Introduction to the IT Hierarchy of ICBC	第一节 工商银行信息科技体系介绍	sample1-en-sample1-zh
Section Two Introduction to FOVA	第二节 FOVA系统介绍	sample1-en-sample1-zh
Section Three Science & Technology Regulations for Overseas Institutions	第三节 境外机构科技制度	sample1-en-sample1-zh
CHAPTER FOUR OVERSEAS PRODUCT SYSTEM OF ICBC	第四章 工商银行境外产品体系	sample1-en-sample1-zh
Section One Deposit Products	第一节 存款产品	sample1-en-sample1-zh
Section Two Loan Products	第二节 贷款产品	sample1-en-sample1-zh
Section Three Settlement Products	第三节 结算产品	sample1-en-sample1-zh
Section Four Agency Products	第四节 代理产品	sample1-en-sample1-zh
Section Five Bank Card Products	第五节 银行卡产品	sample1-en-sample1-zh
Section Six Guarantee and Commitment Products	第六节 担保承诺产品	sample1-en-sample1-zh
Section Seven Asset Custody Products	第七节 资产托管产品	sample1-en-sample1-zh
Section Eight Investment Banking Products	第八节 投资银行产品	sample1-en-sample1-zh
Section Nine Investment and Wealth Management Products	第九节 投资理财产品	sample1-en-sample1-zh
Section Ten Treasury Transaction Products	第十节 资金交易产品	sample1-en-sample1-zh
Section Eleven E-Banking Products	第十一节 电子银行产品	sample1-en-sample1-zh
CHAPTER ONE OVERVIEW OF ICBC	第一章 工商银行概况	sample1-en-sample1-zh
Section One History of Reform and Achievement	第一节 改革历程与成就	sample1-en-sample1-zh
I. History of Reform	一、改革历程	sample1-en-sample1-zh
i. Period as a state-owned specialized bank (1984-1993)	（一）国家专业银行时期（1984年～1993年）	sample1-en-sample1-zh
Industrial and Commercial Bank of China (“ICBC”) was formally established on January 1, 1984, mainly responsible for the industrial and commercial credits and savings business previously undertaken by the People’s Bank of China (“PBOC”) in the early period.	1984年1月1日，中国工商银行正式成立。 初期主要负责原来由中国人民银行办理的工商信贷和储蓄业务。	sample1-en-sample1-zh
In the subsequent one decade, ICBC was actively involved in the economic system reform, vigorously supported the national economic development and fully served as a major channel of financing.	在之后的十年里，工商银行积极参与经济体制改革，大力支持国民经济发展，充分发挥了融资主渠道的作用。	sample1-en-sample1-zh
Meanwhile, ICBC continued to improve its service network, rapidly expanded its business scope, developed a nationwide business network system with a focus on serving urban industrial and commercial enterprises and urban citizens, and established a superior position in Chinese financial industry in basic business areas.	同时，工商银行的服务网络不断健全，业务范围迅速扩展，形成了覆盖全国、重点服务城市工商企业和城市居民的经营网络体系，并在基础业务领域确立了国内金融业的优势地位。	sample1-en-sample1-zh
ii. Period as a state-owned commercial bank (1994-2004)	（二）国有商业银行时期（1994年～2004年）	sample1-en-sample1-zh
To adapt to the needs of socialist market economic system and allow the financial industry to better support the sustained, rapid and healthy development of national economy, China introduced a reform to the financial system under the traditional planned economic pattern, requiring state-owned specialized banks to transform to state-owned commercial ones as soon as possible and operate based on the modern commercial bank operating mechanism of independent operation, self risk-taking, assumption of sole responsibility for profit or loss and self-restraint.	为适应建立社会主义市场经济体制的需要，更好地发挥金融业支持国民经济持续快速健康发展的作用，国家对传统计划经济模式下的金融体制进行改革，要求国有专业银行尽快转型为国有商业银行，按自主经营、自担风险、自负盈亏、自我约束的现代商业银行经营机制运行。	sample1-en-sample1-zh
In line with the market economic requirements and the principles for operation of commercial banks, ICBC actively carried out a series of reforms. It established the unified legal person system, accelerated the innovation in various business management mechanisms such as authorization, credit extension, performance assessment and cost control mainly proceeding from resolving asset quality and operational efficiency issues, strengthened risk management and internal control, promoted the adjustment of business structure and the change in development models and enhanced the quality and effectiveness of development, laying a foundation and creating conditions for the joint-stock reform and modern financial enterprise construction.	工商银行按照市场经济要求和商业银行经营原则，积极实施了一系列改革，建立了统一法人体制，并着重从解决资产质量和经营效益问题入手，加快了授权、授信、绩效考核、成本控制等各项经营管理机制的创新，强化了风险管理和内部控制，推进了经营结构的调整和发展方式的转变，提升了发展的质量和效益，为股份制改革和现代金融企业建设奠定了基础、创造了条件。	sample1-en-sample1-zh
iii. Period as a joint-stock commercial bank (from 2005)	（三）股份制商业银行时期（2005年至今）	sample1-en-sample1-zh
Entering into the 21st Century, Chinese banking industry has witnessed a big change in its business environment.	进入21世纪以来，中国银行业的经营环境出现了较大变化。	sample1-en-sample1-zh
To improve the competitiveness and development level, state-owned commercial banks embarked on the joint-stock reform, realizing the fundamental shift of the business system and mechanism through the restructuring of equity structure and laying a more solid foundation for the sustained and healthy development through the improved internal governance structure and the optimized business management.	为增强竞争能力和发展水平，国有商业银行陆续启动了股份制改造，通过产权结构的重组，实现经营体制机制的根本性转变，通过内部治理结构的完善和经营管理的优化，为持续健康发展奠定更为坚实的基础。	sample1-en-sample1-zh
On April 18, 2005, ICBC formally started the joint-stock reform and generally went through the following stages:	2005 年4 月18 日，工商银行正式启动股份制改革，大体可以分为以下几个阶段：	sample1-en-sample1-zh
1. Financial restructuring	1．财务重组	sample1-en-sample1-zh
(1) Restructuring the capital structure.	（1）重组资本结构。	sample1-en-sample1-zh
On April 22, 2005, Central Huijin Investment Ltd. (“Huijin”) made a capital contribution of USD15 billion (or RMB124 billion) to ICBC from its foreign exchange reserve.	2005 年4 月22 日，中央汇金公司运用外汇储备向工商银行注入150亿美元（折合人民币1240 亿元）资本金。	sample1-en-sample1-zh
ICBC restructured the capital by retaining an amount the same as that of Huijin and changing the other to risk provisioning. The Ministry of Finance (“MOF”) and Huijin held a 50% stake in ICBC each.	工商银行对现有资本金进行重组，保留与汇金公司等额资本金，其余转为风险拨备，财政部和汇金公司分别持有工行50%的股份。	sample1-en-sample1-zh
After the capital restructuring, the core capital of ICBC reached RMB248 billion and its core capital adequacy ratio exceeded 6%.	资本结构重组后，工商银行的核心资本金达到2480亿元，核心资本充足率达到6%以上。	sample1-en-sample1-zh
On August 19, 2005, ICBC successfully issued the first subordinated bonds of RMB35 billion, in which the excess subscription ratio was 2.44x.	同年8 月19 日，工商银行成功发行首期350亿元的次级债券，超额认购率达到2.44倍。	sample1-en-sample1-zh
The issue of subordinated bonds helped ICBC further renew the supplementary capital and be well prepared for strategic capital introduction and public offering.	通过次级债券的发行，工商银行进一步补充了附属资本，为战略引资和公开上市做好了准备。	sample1-en-sample1-zh
(2) Disposing non-performing assets.	（2）处置不良资产。	sample1-en-sample1-zh
ICBC disposed non-performing assets in the way as follows: the assets classified under the loss category were purchased by MOF. MOF and ICBC set up a jointly managed account with its funding source from the share dividends of central finance and the income taxes paid by ICBC; with regard to the doubtful assets, PBOC adopted the market-oriented methods such as bidding to choose asset management companies for disposal.	工商银行处置不良资产的具体方式如下：损失类资产由财政部购买，财政部与工商银行共同建立“特别共管基金账户”，其资金来源为中央财政的股份分红及工商银行上交的所得税；可疑类资产由人民银行采取招标等市场化方式，选择资产管理公司予以处置。	sample1-en-sample1-zh
